ward_id,household_count,income_range_in_thousands,avg_hh_size
70102,3,0-10,4
70103,4,0-10,6
70105,3,10-20,7
70106,5,10-20,6
70107,11,10-20,7
70109,10,10-20,7
70201,6,0-10,6
70202,3,0-10,5
70203,5,0-10,6
70204,8,10-20,7
70205,4,10-20,4
70206,10,10-20,5
70207,6,10-20,6
70208,17,10-20,5
70209,7,0-10,5
70301,93,10-20,3
70302,38,20-30,6
70303,35,20-30,6
70304,31,20-30,5
70305,97,20-30,5
70306,87,20-30,6
70307,141,0-10,5
70308,20,30-50,6
70309,13,10-20,7
70401,10,0-10,6
70402,13,0-10,5
70403,7,0-10,10
70404,10,0-10,6
70405,2,0-10,6
70407,3,0-10,8
70408,3,0-10,6
70701,19,0-10,5
70703,16,0-10,5
70705,3,20-30,5
70706,2,10-20,7
70707,4,0-10,6
70708,10,0-10,7
70709,16,0-10,5
70801,40,0-10,5
70802,1,0-10,5
70803,1,0-10,6
70804,7,0-10,6
70805,17,0-10,5
70806,1,0-10,2
70807,2,0-10,6
70808,6,0-10,5
70809,15,0-10,6
70901,2,10-20,7
70903,2,10-20,11
70909,4,10-20,4
71001,21,0-10,5
71002,29,0-10,5
71003,7,0-10,4
71004,10,0-10,5
71005,7,0-10,5
71006,19,0-10,7
71007,9,0-10,6
71008,8,0-10,6
71009,21,0-10,6
71101,16,10-20,7
71103,3,10-20,6
71104,16,10-20,5
71105,4,10-20,7
71106,4,10-20,7
71107,8,10-20,7
71108,8,10-20,7
71109,7,10-20,7
71201,87,10-20,4
71202,26,10-20,4
71203,25,10-20,5
71204,28,0-10,5
71205,38,10-20,5
71206,49,0-10,5
71207,20,0-10,5
71208,25,0-10,5
71209,7,0-10,5
71301,4,10-20,5
71302,4,0-10,6
71303,3,0-10,5
71304,4,0-10,4
71306,4,0-10,5
71307,1,0-10,7
71308,2,10-20,8
71309,2,0-10,8
71401,17,0-10,7
71402,9,0-10,7
71403,8,0-10,5
71404,8,0-10,5
71405,24,0-10,5
71406,9,0-10,5
71407,31,0-10,5
71408,16,0-10,5
71409,8,0-10,5
71501,45,10-20,5
71502,82,10-20,5
71503,71,10-20,5
71504,68,10-20,5
71505,31,10-20,6
71506,7,10-20,6
